Entry	Reviewed	Gene Names
Q39Q96	unreviewed	gspF Gmet_3366
Q39Q97	unreviewed	gspE Gmet_3365
Q39QB6	unreviewed	nuoJ-1 Gmet_3346
Q39QB8	unreviewed	nuoL-1 Gmet_3344
Q39QB9	unreviewed	nuoM-1 Gmet_3343
Q39QC3	unreviewed	def def-1 Gmet_3338
Q39QC9	unreviewed	hyaS Gmet_3332
Q39QD1	unreviewed	hyaB Gmet_3330
Q39QG8	unreviewed	Gmet_3293
Q39QH2	unreviewed	Gmet_3289
Q39QH3	unreviewed	aplB Gmet_3288
Q39QI3	unreviewed	dksA Gmet_3278
Q39QI4	unreviewed	radA Gmet_3277
Q39QJ5	unreviewed	cheA64H Gmet_3266
Q39QK0	unreviewed	Gmet_3261
Q39QL1	unreviewed	tmk tmk-2 Gmet_3250
Q39QL5	unreviewed	larF Gmet_3246
Q39QM6	unreviewed	hemD Gmet_3235
Q39QM9	unreviewed	Gmet_3232
Q39QN0	unreviewed	cysG Gmet_3231
Q39QN1	unreviewed	trxA Gmet_3230
Q39QR0	unreviewed	rsfS Gmet_3201
Q39QR9	unreviewed	cafA Gmet_3192
Q39QS4	unreviewed	Gmet_3187
Q39QS5	unreviewed	prx-2 Gmet_3186
Q39QT3	unreviewed	Gmet_3178
Q39QU0	unreviewed	Gmet_3171
Q39QV6	unreviewed	gcvT Gmet_3155
Q39QV7	unreviewed	gcvH Gmet_3154
Q39QV8	unreviewed	gcvPA gcvP1 Gmet_3153
Q39QV9	unreviewed	gcvP2 Gmet_3152
Q39QW5	unreviewed	Gmet_3146
Q39QX1	unreviewed	Gmet_3140
Q39QZ5	unreviewed	flgB Gmet_3115
Q39QZ7	unreviewed	fliE Gmet_3113
Q39QZ8	unreviewed	fliF Gmet_3112
Q39QZ9	unreviewed	fliG Gmet_3111
Q39R01	unreviewed	fliI Gmet_3109
Q39R02	unreviewed	fliJ Gmet_3108
Q39R09	unreviewed	fliL Gmet_3101
Q39R10	unreviewed	fliM Gmet_3100
Q39R12	unreviewed	fliO Gmet_3098
Q39R13	unreviewed	fliP Gmet_3097
Q39R14	unreviewed	fliQ Gmet_3096
Q39R15	unreviewed	fliR Gmet_3095
Q39R16	unreviewed	flhB Gmet_3094
Q39R19	unreviewed	macA Gmet_3091
Q39R34	unreviewed	vapC Gmet_3076
Q39R38	unreviewed	tdcB Gmet_3072
Q39R39	unreviewed	dmeF Gmet_3071
Q39R40	unreviewed	trxB Gmet_3070
Q39R52	unreviewed	ihfA-3 Gmet_3057
Q39R53	unreviewed	ihfA-4 Gmet_3056
Q39R67	unreviewed	xerC Gmet_3042
Q39R68	unreviewed	Gmet_3041
Q39R71	unreviewed	Gmet_3038
Q39R74	unreviewed	rhlB Gmet_3035
Q39R87	unreviewed	sfrA Gmet_3022
Q39R88	unreviewed	yceG mltG Gmet_3021
Q39RB1	unreviewed	Gmet_2998
Q39RC1	unreviewed	cysK-1 Gmet_2988
Q39RC6	unreviewed	polA Gmet_2983
Q39RC9	unreviewed	Gmet_2980
Q39RF9	unreviewed	folA Gmet_2947
Q39RG6	unreviewed	ppdK Gmet_2940
Q39RH5	unreviewed	cbcD Gmet_2931
Q39RI3	unreviewed	Gmet_2923
Q39RJ5	unreviewed	Gmet_2911
Q39RK2	unreviewed	purD Gmet_2904
Q39RK3	unreviewed	purE Gmet_2903
Q39RK6	unreviewed	Gmet_2900
Q39RN6	unreviewed	khpA Gmet_2870
Q39RP5	unreviewed	rsmI Gmet_2861
Q39RQ2	unreviewed	rpoH Gmet_2854
Q39RQ5	unreviewed	clpB Gmet_2851
Q39RR1	unreviewed	ychF Gmet_2845
Q39RT0	unreviewed	cheB64H-2 Gmet_2826
Q39RT2	unreviewed	Gmet_2824
Q39RT6	unreviewed	shc-1 Gmet_2820
Q39RU5	unreviewed	Gmet_2811
Q39RU8	unreviewed	Gmet_2808
Q39RV3	unreviewed	Gmet_2803
Q39RW6	unreviewed	Gmet_2790
Q39RW8	unreviewed	Gmet_2788
Q39RY4	unreviewed	copA Gmet_2772
Q39RY6	unreviewed	Gmet_2770
Q39RY7	unreviewed	sucA Gmet_2769
Q39RY9	unreviewed	Gmet_2767
Q39RZ0	unreviewed	sucB Gmet_2766
Q39RZ2	unreviewed	lpdA-1 Gmet_2764
Q39RZ4	unreviewed	Gmet_2762
Q39RZ6	unreviewed	pdhA Gmet_2760
Q39S04	unreviewed	aceF Gmet_2752
Q39S08	unreviewed	Gmet_2748
Q39S10	unreviewed	Gmet_2746
Q39S19	unreviewed	Gmet_2737
Q39S32	unreviewed	rep Gmet_2724
Q39S34	unreviewed	Gmet_2722
Q39S40	unreviewed	Gmet_2716
Q39S43	unreviewed	ctpA-1 Gmet_2713
Q39S44	unreviewed	Gmet_2712
Q39S46	unreviewed	cheAY40H-2 Gmet_2710
Q39S51	unreviewed	phoU Gmet_2705
Q39S53	unreviewed	pstA Gmet_2703
Q39S54	unreviewed	pstC Gmet_2702
Q39S55	unreviewed	pstS Gmet_2701
Q39S58	unreviewed	lytS Gmet_2698
Q39S62	unreviewed	phoR Gmet_2694
Q39S67	unreviewed	gltA Gmet_2689
Q39S79	unreviewed	Gmet_2677
Q39S85	unreviewed	Gmet_2671
Q39S87	unreviewed	Gmet_2669
Q39SB2	unreviewed	panE Gmet_2643
Q39SB3	unreviewed	Gmet_2642
Q39SB5	unreviewed	cheB-7 Gmet_2640
Q39SB6	unreviewed	Gmet_2639
Q39SC0	unreviewed	Gmet_2635
Q39SC2	unreviewed	cydC Gmet_2633
Q39SD7	unreviewed	pgl Gmet_2618
Q39SF2	unreviewed	Gmet_2603
Q39SH5	unreviewed	Gmet_2580
Q39SI5	unreviewed	fumB Gmet_2570
Q39SI7	unreviewed	dnaB Gmet_2568
Q39SJ4	unreviewed	nifR3 Gmet_2561
Q39SJ7	unreviewed	fabI Gmet_2558
Q39SJ8	unreviewed	hflX Gmet_2557
Q39SK9	unreviewed	Gmet_2546
Q39SL2	unreviewed	Gmet_2543
Q39SP1	unreviewed	bkdF Gmet_2511
Q39SP3	unreviewed	bkdA pdhA Gmet_2509
Q39SP9	unreviewed	Gmet_2503
Q39SQ4	unreviewed	trpE Gmet_2497
Q39SQ7	unreviewed	trpC Gmet_2494
Q39SR7	unreviewed	trpB trpB1 Gmet_2482
Q39SS1	unreviewed	mcp64H-2 Gmet_2478
Q39SS4	unreviewed	folC Gmet_2475
Q39SS6	unreviewed	rmlB Gmet_2473
Q39SS7	unreviewed	rmlD Gmet_2472
Q39ST6	unreviewed	Gmet_2463
Q39ST9	unreviewed	Gmet_2460
Q39SU5	unreviewed	Gmet_2454
Q39SV4	unreviewed	fur Gmet_2445
Q39SV5	unreviewed	feoB Gmet_2444
Q39SW0	unreviewed	nikO Gmet_2439
Q39SW3	unreviewed	kdpD Gmet_2436
Q39SX2	unreviewed	cheA34H Gmet_2427
Q39SX3	unreviewed	Gmet_2426
Q39SX5	unreviewed	mcp34H-6 Gmet_2424
Q39SX7	unreviewed	mcp34H-8 Gmet_2422
Q39SY0	unreviewed	cheD cheD34H Gmet_2419
Q39SY9	unreviewed	sodA Gmet_2410
Q39SZ5	unreviewed	ptsP Gmet_2404
Q39SZ9	unreviewed	mviN murJ Gmet_2400
Q39T04	unreviewed	frdB Gmet_2395
Q39T08	unreviewed	malQ Gmet_2391
Q39T21	unreviewed	serA Gmet_2378
Q39T24	unreviewed	aroF Gmet_2375
Q39T25	unreviewed	Gmet_2374
Q39T26	unreviewed	Gmet_2373
Q39T30	unreviewed	Gmet_2369
Q39T33	unreviewed	prfB Gmet_2366
Q39T37	unreviewed	Gmet_2362
Q39T43	unreviewed	Gmet_2356
Q39T46	unreviewed	lpxA-1 lpxA Gmet_2353
Q39T54	unreviewed	Gmet_2345
Q39T68	unreviewed	Gmet_2331
Q39T70	unreviewed	galE-1 Gmet_2329
Q39T74	unreviewed	relA Gmet_2325
Q39T80	unreviewed	holB Gmet_2319
Q39T81	unreviewed	tmk tmk-1 Gmet_2318
Q39T88	unreviewed	cheA40H Gmet_2311
Q39TL0	unreviewed	Gmet_2186
Q39TM3	unreviewed	asnB-1 Gmet_2172
Q39TN1	unreviewed	Gmet_2164
Q39TN4	unreviewed	Gmet_2161
Q39TP4	unreviewed	bamQ Gmet_2151
Q39TP9	unreviewed	bamV Gmet_2146
Q39TR3	unreviewed	pcmP tatA Gmet_2132
Q39TR7	unreviewed	buk buk-2 pcmL Gmet_2128
Q39TS7	unreviewed	pcmB Gmet_2118
Q39TT9	unreviewed	buk buk-1 Gmet_2106
Q39TU0	unreviewed	ubiX Gmet_2105
Q39TU4	unreviewed	Gmet_2101
Q39TW9	unreviewed	fdhD Gmet_2076
Q39TY6	unreviewed	Gmet_2059
Q39TZ2	unreviewed	mutL Gmet_2053
Q39TZ4	unreviewed	hfq Gmet_2051
Q39U15	unreviewed	Gmet_2030
Q39U21	unreviewed	asnB-2 Gmet_2024
Q39U39	unreviewed	sufS Gmet_2006
Q39U57	unreviewed	nadC Gmet_1988
Q39U65	unreviewed	Gmet_1980
Q39U85	unreviewed	trpS Gmet_1960
Q39U91	unreviewed	nadB Gmet_1954
Q39U93	unreviewed	pgsA-1 Gmet_1952
Q39U96	unreviewed	secG Gmet_1949
Q39U99	unreviewed	gapA Gmet_1946
Q39UA0	unreviewed	Gmet_1945
Q39UA2	unreviewed	purB Gmet_1943
Q39UB5	unreviewed	cydA Gmet_1930
Q39UB6	unreviewed	cydB Gmet_1929
Q39UD5	unreviewed	Gmet_1910
Q39UD7	unreviewed	Gmet_1908
Q39UD9	unreviewed	cysP Gmet_1906
Q39UE0	unreviewed	cysU Gmet_1905
Q39UE3	unreviewed	cooS Gmet_1902
Q39UE9	unreviewed	lpdA-2 Gmet_1896
Q39UF2	unreviewed	recB Gmet_1893
Q39UF4	unreviewed	tilS Gmet_1891
Q39UF6	unreviewed	folP Gmet_1889
Q39UG4	unreviewed	yjeE Gmet_1881
Q39UG5	unreviewed	Gmet_1880
Q39UG6	unreviewed	cimA Gmet_1879
Q39UH8	unreviewed	Gmet_1867
Q39UI6	unreviewed	pulQ Gmet_1859
Q39UI9	unreviewed	ftsE Gmet_1856
Q39UJ0	unreviewed	ftsX Gmet_1855
Q39UJ2	unreviewed	ctpA-2 Gmet_1853
Q39UK7	unreviewed	efp-2 efp Gmet_1838
Q39UL8	unreviewed	iorA-1 Gmet_1827
Q39UM0	unreviewed	paaK-2 Gmet_1825
Q39UM5	unreviewed	livG Gmet_1820
Q39UM7	unreviewed	paaK-1 Gmet_1818
Q39UP7	unreviewed	Gmet_1797
Q39UQ3	unreviewed	Gmet_1790
Q39UR3	unreviewed	gluQ yadB Gmet_1780
Q39UR6	unreviewed	recG Gmet_1777
Q39UR8	unreviewed	greA Gmet_1775
Q39US5	unreviewed	pyrR Gmet_1768
Q39US6	unreviewed	lepB Gmet_1767
Q39US8	unreviewed	Gmet_1765
Q39UT7	unreviewed	Gmet_1756
Q39UU4	unreviewed	Gmet_1749
Q39UY6	unreviewed	Gmet_1707
Q39V02	unreviewed	fabD-1 Gmet_1691
Q39V22	unreviewed	Gmet_1671
Q39V23	unreviewed	Gmet_1670
Q39V26	unreviewed	Gmet_1667
Q39V36	unreviewed	queD Gmet_1657
Q39V39	unreviewed	Gmet_1654
Q39V44	unreviewed	Gmet_1649
Q39V56	unreviewed	maeB Gmet_1637
Q39V62	unreviewed	thrC Gmet_1631
Q39V68	unreviewed	ribE Gmet_1625
Q39V89	unreviewed	fabF-2 Gmet_1603
Q39V91	unreviewed	fabG-2 Gmet_1601
Q39V92	unreviewed	fabD-2 Gmet_1600
Q39VA8	unreviewed	nusA Gmet_1584
Q39VD2	unreviewed	cysK-2 Gmet_1558
Q39VI5	unreviewed	Gmet_1505
Q39VK2	unreviewed	gmd-2 gmd Gmet_1488
Q39VK4	unreviewed	galE-2 Gmet_1486
Q39VN4	unreviewed	Gmet_1456
Q39VP1	unreviewed	Gmet_1449
Q39VQ9	unreviewed	uxs Gmet_1431
Q39VR0	unreviewed	ugd Gmet_1430
Q39VR3	unreviewed	xerD Gmet_1427
Q39VS3	unreviewed	ihfA-1 Gmet_1417
Q39VT4	unreviewed	Gmet_1406
Q39VU4	unreviewed	pilS Gmet_1396
Q39VU7	unreviewed	pilB Gmet_1393
Q39VV3	unreviewed	tatC Gmet_1387
Q39VV9	unreviewed	dsbB Gmet_1381
Q39VX1	unreviewed	trmJ Gmet_1369
Q39VY1	unreviewed	icd Gmet_1359
Q39VY7	unreviewed	ispG Gmet_1353
Q39VY8	unreviewed	glnA Gmet_1352
Q39VY9	unreviewed	glnB Gmet_1351
Q39W27	unreviewed	gmd-1 gmd Gmet_1311
Q39W38	unreviewed	Gmet_1300
Q39W41	unreviewed	nrdJ Gmet_1297
Q39W44	unreviewed	ahcY Gmet_1294
Q39W46	unreviewed	Gmet_1292
Q39W54	unreviewed	raiA hpf Gmet_1284
Q39W55	unreviewed	rpoN Gmet_1283
Q39W59	unreviewed	kdsC Gmet_1279
Q39W60	unreviewed	kdsD Gmet_1278
Q39W74	unreviewed	pssA Gmet_1264
Q39W78	unreviewed	ilvB Gmet_1260
Q39W81	unreviewed	rseP Gmet_1257
Q39W83	unreviewed	cdsA Gmet_1255
Q39W95	unreviewed	Gmet_1243
Q39W96	unreviewed	Gmet_1242
Q39WA9	unreviewed	rsbW Gmet_1228
Q39WB0	unreviewed	lgt Gmet_1227
Q39WB8	unreviewed	Gmet_1219
Q39WC0	unreviewed	rluB Gmet_1217
Q39WC2	unreviewed	dnaE Gmet_1215
Q39WC5	unreviewed	Gmet_1212
Q39WD7	unreviewed	Gmet_1200
Q39WE8	unreviewed	corA-1 corA Gmet_1189
Q39WF1	unreviewed	gdhA Gmet_1186
Q39WF7	unreviewed	Gmet_1179
Q39WG6	unreviewed	Gmet_1170
Q39WH6	unreviewed	metF-1 Gmet_1160
Q39WH7	unreviewed	galU Gmet_1159
Q39WH8	unreviewed	Gmet_1158
Q39WH9	unreviewed	Gmet_1157
Q39WI0	unreviewed	htpX Gmet_1156
Q39WL2	unreviewed	Gmet_1124
Q39WN1	unreviewed	greB Gmet_1103
Q39WN5	unreviewed	ald Gmet_1099
Q39WQ4	unreviewed	cheA36H Gmet_1080
